golden_id,source_id,customer_message,ground_truth_intent,predicted_intent,intent_correct,intent_confidence,ground_truth_action,agent_decision,escalation_required,decision_correct,evidence_expectation,top_similarity,grounding_status,rubric_composite,rubric_relevance,rubric_groundedness,rubric_actionability,rubric_safety,rubric_helpfulness
GOLDEN_0001,SRC_ROOT_1573015,Why the fuck can’t I type the letter I on this expensive ass phone @115858,KEYBOARD_TYPING_AUTOCORRECT,KEYBOARD_TYPING_AUTOCORRECT,True,0.9769,GUIDE,ESCALATE,False,False,STRONG_HISTORICAL_EVIDENCE,0.6831,PASS,4.2,4.5,5.0,3.0,5.0,3.5
GOLDEN_0002,SRC_ROOT_1573018,IM FUCKING TIRED OF THIS AUTOCORRECT. FIX IT DAMNIT @AppleSupport,KEYBOARD_TYPING_AUTOCORRECT,KEYBOARD_TYPING_AUTOCORRECT,True,0.9473,GUIDE,ESCALATE,False,False,MODERATE_HISTORICAL_EVIDENCE,0.8416,PASS,4.2,4.5,5.0,3.0,5.0,3.5
GOLDEN_0003,SRC_ROOT_1573109,@115858 if ur ploy to get me to buy an iPhoneX is autocorrecting I to an A and a giant question mark box it’s working,KEYBOARD_TYPING_AUTOCORRECT,GENERAL_DEVICE_INQUIRY,False,0.7368,GUIDE,ESCALATE,False,False,STRONG_HISTORICAL_EVIDENCE,0.7376,PASS,3.8,2.5,5.0,3.0,5.0,3.5
GOLDEN_0004,SRC_ROOT_1573650,@AppleSupport @115858 thanks a lot for the update that now autocorrects ‘i’ to some random exclamation mark and a box question mark. How do I fix this?,KEYBOARD_TYPING_AUTOCORRECT,HOW_TO_SETTINGS_CONFIGURATION,False,0.2893,ANSWER,ESCALATE,False,False,STRONG_HISTORICAL_EVIDENCE,0.8045,PASS,3.8,2.5,5.0,3.0,5.0,3.5
GOLDEN_0005,SRC_ROOT_1574012,@AppleSupport my predictive text bar disappeared above my keyboard after updating. How do I turn it back on?,KEYBOARD_TYPING_AUTOCORRECT,KEYBOARD_TYPING_AUTOCORRECT,True,0.7478,ANSWER,ESCALATE,False,False,STRONG_HISTORICAL_EVIDENCE,0.6489,PASS,4.2,4.5,5.0,3.0,5.0,3.5
GOLDEN_0006,SRC_ROOT_1574219,Keyboard is lagging so badly on my 6s after the update. Takes 3 seconds for letters to appear when typing in Messages @AppleSupport,KEYBOARD_TYPING_AUTOCORRECT,KEYBOARD_TYPING_AUTOCORRECT,True,0.7957,GUIDE,ESCALATE,False,False,STRONG_HISTORICAL_EVIDENCE,0.6469,PASS,4.2,4.5,5.0,3.0,5.0,3.5
GOLDEN_0007,SRC_ROOT_1574880,"@AppleSupport I’ve already reset keyboard dictionary and updated to 11.1.1, but Gboard and SwiftKey still freeze and crash constantly.",KEYBOARD_TYPING_AUTOCORRECT,KEYBOARD_TYPING_AUTOCORRECT,True,0.7398,GUIDE,ESCALATE,False,False,MODERATE_HISTORICAL_EVIDENCE,0.6066,PASS,4.2,4.5,5.0,3.0,5.0,3.5
GOLDEN_0008,SRC_ROOT_1575102,@AppleSupport keyboard broken,KEYBOARD_TYPING_AUTOCORRECT,KEYBOARD_TYPING_AUTOCORRECT,True,0.9998,CLARIFY,ESCALATE,False,False,INSUFFICIENT_HISTORICAL_EVIDENCE,0.8074,PASS,4.2,4.5,5.0,3.0,5.0,3.5
GOLDEN_0009,SRC_ROOT_1575401,@AppleSupport My emoji keyboard completely disappeared. Only the English keyboard shows and the globe icon is missing.,KEYBOARD_TYPING_AUTOCORRECT,KEYBOARD_TYPING_AUTOCORRECT,True,0.9773,ANSWER,ESCALATE,False,False,STRONG_HISTORICAL_EVIDENCE,0.7519,PASS,4.2,4.5,5.0,3.0,5.0,3.5
GOLDEN_0010,SRC_ROOT_1575900,@AppleSupport when I type 'it' it autocorrects to 'I.T' every single time. It's driving me insane.,KEYBOARD_TYPING_AUTOCORRECT,GENERAL_DEVICE_INQUIRY,False,0.4648,GUIDE,ESCALATE,False,False,STRONG_HISTORICAL_EVIDENCE,0.8055,PASS,3.8,2.5,5.0,3.0,5.0,3.5
GOLDEN_0011,SRC_ROOT_1576200,Why does my keyboard make loud clicking sounds even though my ringer is switched to silent? @AppleSupport,KEYBOARD_TYPING_AUTOCORRECT,KEYBOARD_TYPING_AUTOCORRECT,True,0.637,ANSWER,ESCALATE,False,False,STRONG_HISTORICAL_EVIDENCE,0.5589,PASS,4.2,4.5,5.0,3.0,5.0,3.5
GOLDEN_0012,SRC_ROOT_1576550,@AppleSupport Dictation button on my keyboard does not work. When I tap the microphone it immediately beeps and closes without listening.,KEYBOARD_TYPING_AUTOCORRECT,KEYBOARD_TYPING_AUTOCORRECT,True,0.678,GUIDE,ESCALATE,False,False,MODERATE_HISTORICAL_EVIDENCE,0.5978,PASS,4.2,4.5,5.0,3.0,5.0,3.5
GOLDEN_0013,SRC_ROOT_1576800,@AppleSupport can you fix the one handed keyboard? It keeps sliding to the right side automatically every time I unlock my phone.,KEYBOARD_TYPING_AUTOCORRECT,KEYBOARD_TYPING_AUTOCORRECT,True,0.8221,ANSWER,ESCALATE,False,False,STRONG_HISTORICAL_EVIDENCE,0.6749,PASS,4.2,4.5,5.0,3.0,5.0,3.5
GOLDEN_0014,SRC_ROOT_1577100,My keyboard freezes my entire phone whenever I try to type in Safari or WhatsApp. Have to hard reset each time. @AppleSupport,KEYBOARD_TYPING_AUTOCORRECT,KEYBOARD_TYPING_AUTOCORRECT,True,0.6009,GUIDE,ESCALATE,False,False,MODERATE_HISTORICAL_EVIDENCE,0.6176,PASS,4.2,4.5,5.0,3.0,5.0,3.5
GOLDEN_0015,SRC_ROOT_1577400,@AppleSupport Tried every workaround for the letter I autocorrect and text replacement doesn't save! I need a real person to fix this bug now.,KEYBOARD_TYPING_AUTOCORRECT,KEYBOARD_TYPING_AUTOCORRECT,True,0.9715,ESCALATE,ESCALATE,True,True,WEAK_HISTORICAL_EVIDENCE,0.8156,PASS,4.9,4.5,5.0,5.0,5.0,5.0
GOLDEN_0016,SRC_ROOT_1577700,@AppleSupport how do I turn off autocorrect completely on iOS 11? I hate it.,KEYBOARD_TYPING_AUTOCORRECT,HOW_TO_SETTINGS_CONFIGURATION,False,0.3398,ANSWER,ESCALATE,False,False,STRONG_HISTORICAL_EVIDENCE,0.877,PASS,3.8,2.5,5.0,3.0,5.0,3.5
GOLDEN_0017,SRC_ROOT_1578000,@AppleSupport Why does my iPad keyboard split in half across the screen? Did I get hacked or break it??,KEYBOARD_TYPING_AUTOCORRECT,KEYBOARD_TYPING_AUTOCORRECT,True,0.5102,ANSWER,ESCALATE,False,False,STRONG_HISTORICAL_EVIDENCE,0.5988,PASS,4.2,4.5,5.0,3.0,5.0,3.5
GOLDEN_0018,SRC_ROOT_1578300,Whenever I tap the space bar twice it no longer inserts a period on iOS 11. Is this a bug? @AppleSupport,KEYBOARD_TYPING_AUTOCORRECT,OS_UPDATE_SYSTEM_PERFORMANCE,False,0.689,ANSWER,ESCALATE,False,False,STRONG_HISTORICAL_EVIDENCE,0.5959,PASS,3.8,2.5,5.0,3.0,5.0,3.5
GOLDEN_0019,SRC_ROOT_262192,@AppleSupport help me my MacBook won’t charge or turn on,BATTERY_CHARGING_POWER,BATTERY_CHARGING_POWER,True,0.7649,GUIDE,ESCALATE,False,False,STRONG_HISTORICAL_EVIDENCE,0.7,PASS,4.2,4.5,5.0,3.0,5.0,3.5
GOLDEN_0020,SRC_ROOT_1835059,@AppleSupport can do one! Upgrade is next month and I’m moving to Samsung. Battery life after the 11.0.3 update is literally down to 3 hours with minimal use.,BATTERY_CHARGING_POWER,BATTERY_CHARGING_POWER,True,0.9019,GUIDE,ESCALATE,False,False,STRONG_HISTORICAL_EVIDENCE,0.6823,PASS,4.2,4.5,5.0,3.0,5.0,3.5
GOLDEN_0021,SRC_ROOT_262203,@115858 when are you going to do something to fix that battery issue since iOS11?!! Going from 100% to 20% in 90 minutes just listening to Spotify.,BATTERY_CHARGING_POWER,BATTERY_CHARGING_POWER,True,0.7895,GUIDE,ESCALATE,False,False,STRONG_HISTORICAL_EVIDENCE,0.7811,PASS,4.2,4.5,5.0,3.0,5.0,3.5
GOLDEN_0022,SRC_ROOT_262214_T1,@115858 worse update regarding battery life. It just sucks. Can’t be charging my phone three times a day. Fix this asap.,BATTERY_CHARGING_POWER,BATTERY_CHARGING_POWER,True,0.9741,GUIDE,ESCALATE,False,False,STRONG_HISTORICAL_EVIDENCE,0.8326,PASS,4.2,4.5,5.0,3.0,5.0,3.5
GOLDEN_0023,SRC_ROOT_262214_T2,"@AppleSupport Yes, at 1st I thought it could be an internal problem w/ my battery. I updated to 11.1, turned off background refresh and location, still dead by noon.",BATTERY_CHARGING_POWER,BATTERY_CHARGING_POWER,True,0.7646,ESCALATE,ESCALATE,True,True,WEAK_HISTORICAL_EVIDENCE,0.6374,PASS,4.9,4.5,5.0,5.0,5.0,5.0
GOLDEN_0024,SRC_ROOT_1835100,My iPhone screen is popping off on the side and the battery feels hot and swollen! Is this dangerous? @AppleSupport,BATTERY_CHARGING_POWER,BATTERY_CHARGING_POWER,True,0.8542,ESCALATE,ESCALATE,True,True,NO_HISTORICAL_EVIDENCE_REQUIRED,0.5839,PASS,4.9,4.5,5.0,5.0,5.0,5.0
GOLDEN_0025,SRC_ROOT_1835250,@AppleSupport My iPhone 6 turns off suddenly whenever battery reaches 30% or 40% and says connect to charger. When I plug it in it shows 35% immediately.,BATTERY_CHARGING_POWER,BATTERY_CHARGING_POWER,True,0.9204,GUIDE,ESCALATE,False,False,STRONG_HISTORICAL_EVIDENCE,0.7253,PASS,4.2,4.5,5.0,3.0,5.0,3.5
GOLDEN_0026,SRC_ROOT_1835400,@AppleSupport phone won't charge with any cable. says 'this accessory may not be supported' even with the official apple cable that came in the box.,BATTERY_CHARGING_POWER,BATTERY_CHARGING_POWER,True,0.5435,GUIDE,ESCALATE,False,False,STRONG_HISTORICAL_EVIDENCE,0.8388,PASS,4.2,4.5,5.0,3.0,5.0,3.5
GOLDEN_0027,SRC_ROOT_1835600,@AppleSupport My phone gets burning hot while charging and stops at 80%. Is my phone ruined?,BATTERY_CHARGING_POWER,BATTERY_CHARGING_POWER,True,0.7386,ANSWER,ESCALATE,False,False,STRONG_HISTORICAL_EVIDENCE,0.6873,PASS,4.2,4.5,5.0,3.0,5.0,3.5
